wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
koœció³  katolicki ; ** ; AC ;  ; #+inne koœcio³y
koœæ *ADCCA jarzmowa ; ** ; AD ;  ; #2wo
koœæ *ADCCA niezgody ; *- ; AD ;  ; #jw
koœæ *ADCCA s³oniowa ; ** ; AD ;  ; #jw
kozia  bródka ; ** ; AD ;  ; 
kozio³ *ABABAAA ofiarny ; ** ; AB ;  ; 
kraina  mlekiem i miodem  p³yn¹ca ; *---* ; AD ;  ; 
kr¹¿ownik  szos ; *- ; AC ;  ; 
krecia  robota *ADAAA ; ** ; AD ;  ; 
kredyt  bankowy ; ** ; AC ; 21 ; 
kredyt  hipoteczny ; ** ; AC ;  ; 
kredyt  zaufania ; *- ; AC ;  ; 
krew *ADCAAA z *GBBAA mlekiem ; --- ; AD ;  ; 
krêta  droga *ADAB ; ** ; AD ;  ; 
krok wstecz ; -- ; AC ;  ; 
krokodylowe  ³zy ; ** ; AG ; 21 ; 
kronika  filmowa ; ** ; AD ;  ; 
kropla  w morzu ; *-- ; AD ;  ; 
kropla w morzu ; *-- ; AD ;  ; 
król *ABAABA  karowy ; ** ; AB ;  ; 
$ król *ABAABA  karo ; ** ; AB ;  ;
król *ABAABA kierowy ; ** ; AB ;  ;
$ król *ABAABA  kier ; ** ; AB ;  ;
król *AAAAB kurkowy ; ** ; AA ;  ; 
król *ABAABA pikowy ; ** ; AB ;  ; 
$ król *ABAABA  pik ; ** ; AB ;  ;
król *ABAABA treflowy ; ** ; AB ;  ; 
$ król *ABAABA  trefl ; ** ; AB ;  ;
król *ABAABA  zwierz¹t ; *- ; AB ; lew ; 
królestwo *AEAAAB niebieskie ; ** ; AE ;  ; 
królik *ABAC doœwiadczalny ; ** ; AB ; 21 ; 
królowa  balu *ACACACB ; *- ; AD ;  ; 
królowa  matka ; ** ; AD ;  ; 
królowa  nocy ; *- ; AD ;  ; 
królowa  serca ; *- ; AD ;  ; 
krótka  ko³dra ; ** ; AD ;  ; 
krótkie  spiêcie ; ** ; AE ;  ; 
kruche  ciasto ; ** ; AE ;  ; 
kruczek *ACABBA prawny ; ** ; AC ;  ; 
krwawa  jatka ; ** ; AD ;  ; 
kryszta³  górski ; ** ; AC ; 21 ; 
kryszta³owe  powietrze ; ** ; AE ;  ; 
kryszta³owy  charakter ; ** ; AC ;  ; 
kryszta³owy  cz³owiek ; ** ; AA ;  ; 
krzak  gorej¹cy ; ** ; AC ;  ; 
krzes³o  elektryczne ; ** ; AE ; 21 ; 
krzyk  mody ; *- ; AC ;  ; 
krzy¿  grecki ; ** ; AC ; 21 ; 
krzy¿  ³aciñski ; ** ; AC ; 21 ; 
krzy¿  maltañski ; ** ; AC ;  ; 
krzy¿  walecznych ; *- ; AC ;  ; 
krzy¿  zas³ugi ; *- ; AC ;  ; 
krzy¿ pañski ; ** ; AC ;  ; 
krzy¿owy  ogieñ ; ** ; AC ;  ; 
ksi¹¿ê  ciemnoœci ; *- ; AA ;  ; #wariant: szatan, diabe³, Lucyfer?
ksi¹¿ka  kucharska ; ** ; AD ;  ; 
ksi¹¿ka  telefoniczna ; ** ; AD ;  ; 
ksiêga  rachunkowa ; ** ; AD ;  ; 
kubki  smakowe ; ** ; AG ;  ; #lp?
kuchnia  polowa ; ** ; AD ;  ; 
kuku³cze  jajo ; ** ; AE ;  ; 
kult  jednostki ; *- ; AC ;  ; 
kult  pieni¹dza ; *- ; AC ;  ; 
kult  przesz³oœci ; *- ; AC ;  ; 
kultura  fizyczna ; ** ; AD ;  ; 
kultura  materialna ; ** ; AD ; 21 ; 
kultura  s³owa ; *- ; AD ;  ; 
kura *ADAAA  domowa ; ** ; AD ;  ; 
kuracja  wstrz¹sowa ; ** ; AD ;  ; 
terapia wstrz¹sowa ; ** ; AD ; ;
kurek *ABAC na dachu ; *-- ; AB ;  ;
kurier *AAACAAAB dyplomatyczny ; ** ; AA ;  ; 
kurna  chata ; ** ; AD ;  ; 
kurza  pamiêæ ; ** ; AD ;  ; 
kurza  œlepota ; ** ; AD ;  ; 
kuter  rybacki ; ** ; AC ; 21 ; 
kwadratura  ko³a ; *- ; AD ;  ; 
kwas  chlebowy ; ** ; AC ;  ; 
kwas  pruski ; ** ; AC ; cyjanowodór ; 
kwasek  cytrynowy ; ** ; AC ;  ; 
kwaœna  mina ; ** ; AD ;  ; 
kwaœne  mleko ; ** ; AE ;  ; 
zsiad³e mleko ; ** ; AE ; ;
kwaœny  deszcz ; ** ; AC ;  ; 
kwatera  g³ówna ; ** ; AD ; 21 ; 
kwestia otwarta ; ** ; AD ; 21 ; 
kwiat  lotosu ; *- ; AC ;  ; 
kwiat  m³odzie¿y ; *- ; AC ;  ; 
kwiat  paproci ; *- ; AC ;  ; 
kwiatek do ko¿ucha ; --- ; AC ;  ; #odm?
kwiecieñ plecieñ ; -- ; AC ;  ; #odm?
lampa  naftowa ; ** ; AD ;  ; 
lampka  oliwna ; ** ; AD ;  ; 
lampka  wina *AEAAAB ; *- ; AD ;  ; 
lanie *AEBAA wody ; *- ; AE ;  ; 
lary i penaty ; --- ; AG ;  ; #odm?
las  iglasty ; ** ; AC ; 21 ; #+las liœciasty
las  r¹k ; *- ; AC ;  ; 
laska  marsza³kowska ; ** ; AD ;  ; 
lataj¹cy *CAA talerz ; ** ; AC ; UFO ; 
latarnia *ADACBABA morska ; ** ; AD ; 21 ; #2wo
lato  kalendarzowe ; ** ; AE ; 21 ; 
legia  cudzoziemska ; ** ; AD ;  ; 
legia  honorowa ; ** ; AD ;  ; 
lekka atletyka *ADAB ; ** ; AD ;  ; 
lekka  jazda ; ** ; AD ;  ; #+ciê¿ka jazda
lekki  chleb ; ** ; AC ;  ; 
$ lekki  kawa³ek chleba ; **- ; AC ;  ; 
lektura  szkolna ; ** ; AD ; 21 ; 
lew *ABABAB morski ; ** ; AB ; uchatka ; 
lew *ABABAB salonowy ; ** ; AB ;  ; 
lewe  papiery *AGAB ; ** ; AG ;  ;
lêk  przestrzeni ; *- ; AC ;  ; 
licencja  poetycka ; ** ; AD ; ; 
liceum  ekonomiczne ; ** ; AE ;  ; 
liceum  ogólnokszta³c¹ce ; ** ; AE ; LO ; 
liceum  zawodowe ; ** ; AE ;  ; 
liczba  bezwzglêdna ; ** ; AD ;  ; 
liczba  ca³kowita ; ** ; AD ;  ; 
liczba  dodatnia ; ** ; AD ;  ; 
liczba  dziesiêtna ; ** ; AD ;  ; 
liczba  mnoga ; ** ; AD ;  ; 
liczba  naturalna ; ** ; AD ;  ; 
liczba  pojedyncza ; ** ; AD ;  ; 
liczba  ujemna ; ** ; AD ;  ; 
liczby  kardynalna ; ** ; AD ;  ; #+inne liczby
lilia  wodna ; ** ; AD ; ; #21?
linia  demarkacyjna ; ** ; AD ;  ; 
linia  frontu ; *- ; AD ;  ; 
linia  polityczna ; ** ; AD ;  ; 
linia  ¿ycia ; *- ; AD ;  ; 
linie *ADACBAA lotnicze ; ** ; AG ;  ; #lp?
linie *ADACBAA papilarne ; ** ; AG ;  ; 
lisi *CBB ogon ; ** ; AC ; 21 ; 
$ lisia kita ; ** ; AD ; ;
lisia  czapa ; ** ; AD ;  ; 
list *ACAAAAA duszpasterski ; ** ; AC ;  ; 
list *ACAAAAA goñczy ; ** ; AC ;  ; 
list *ACAAAAA kaperski ; ** ; AC ;  ; 
list *ACAAAAA otwarty ; ** ; AC ;  ; 
list *ACAAAAA ¿elazny ; ** ; AC ; ; #21?
lista  p³ac ; *- ; AD ;  ;
listek  bobkowy ; ** ; AC ;  ; 
$ listek laurowy ; ** ; AC ; ;
listek  figowy ; ** ; AC ;  ; 
listy *ACAAAAA uwierzytelniaj¹ce ; ** ; AG ; 21 ; #lp?
liœæ  bobkowy ; ** ; AC ;  ; #po³¹czyæ z listkiem
$ liœæ  laurowy ; ** ; AC ;  ; 
literatura  faktu ; *- ; AD ;  ; 
literatura  jarmarczna ; ** ; AD ; 21 ; 
literatura  klasyczna ; ** ; AD ;  ; 
lodowate  spojrzenie ; ** ; AE ;  ; 
lotna  brygada ; ** ; AD ;  ; 
lotne  piaski *AGBB ; ** ; AG ;  ; 
lotny  umys³ ; ** ; AC ;  ; 
lo¿a  honorowa ; ** ; AD ;  ; 
lo¿a  masoñska ; ** ; AD ;  ; 
$ lo¿a  wolnomularska ; ** ; AD ; ; 
ludzka  rzecz ; ** ; AD ; 21 ; 
ludzkie  gadanie ; ** ; AE ;  ; 
lustro  wody ; *- ; AE ;  ; 
lustrzane  odbicie ; ** ; AE ;  ; 
lwi  pazur ; ** ; AC ;  ; 
lwia  czêœæ ; ** ; AD ;  ; 
³acina  kuchenna ; ** ; AD ; 21 ; 
³adunek  elektryczny ; ** ; AC ;  ; 
³akomy  k¹sek ; ** ; AC ;  ; 
³askawa pani ; ** ; AD ;  ; #tytu³
³askawy  chleb ; ** ; AC ;  ; 
³askawy pan ; ** ; AA ;  ; #tytu³
³atwa  kobieta ; ** ; AD ;  ; #wariant: kobieta lekkich obyczajów?
³atwy  chleb ; ** ; AC ;  ; 
³awa  przysiêg³ych ; ** ; AD ;  ; 
³aŸnia  rzymska ; ** ; AD ;  ; #wariant: terma/termy
³owca  posagów ; *- ; AA ;  ; 
³o¿e  boleœci *ADCCA ; *- ; AE ;  ; 
³o¿e  ma³¿eñskie ; ** ; AE ; 21 ; 
³ódŸ  podwodna ; ** ; AD ;  ; 
$ okrêt podwodny ; ** ; AC ; ;
³ódŸ  ratunkowa ; ** ; AD ;  ; 
³ó¿ko  polowe ; ** ; AE ;  ; 
³uk  brwiowy ; ** ; AC ;  ; 
³ut szczêœcia ; *- ; AC ;  ; 
³y¿ka  do butów *AGAB ; *-- ; AD ;  ; 
³za  szczêœcia ; *- ; AD ;  ; 
macica  per³owa ; ** ; AD ;  ; 
macosza  rêka ; ** ; AD ;  ; 
madejowe  ³o¿e ; ** ; AE ; 21 ; 
maj¹tek  narodowy ; ** ; AC ;  ; 
maj¹tek  ziemski ; ** ; AC ;  ; 
majowy  robotnik ; ** ; AA ; 21 ; 
majster  klepka ; ** ; AA ;  ; 
malowana  lala ; ** ; AD ;  ; 
ma³pia  mi³oœæ ; ** ; AD ;  ; 
ma³pia  z³oœliwoœæ ; ** ; AD ;  ;
ma³y  ekran ; ** ; AC ; telewizja ; 
ma³y  kapral ; ** ; AA ; Napoleon ; #nazwa 
ma³y  palec ; ** ; AC ; 21 ; #termin?
ma³¿eñstwo  z *GBBAA rozs¹dku ; *-- ; AE ;  ; 
mamucia  skocznia ; ** ; AD ; 21 ; 
mandat  poselski ; ** ; AC ;  ; 
mania  przeœladowcza ; ** ; AD ;  ; 
mania  wielkoœci ; *- ; AD ; megalomania ; 
manifest  lipcowy ; ** ; AC ;  ; 
manifestacja  pierwszomajowa ; ** ; AD ;  ; 
manna  z *GBBAA nieba ; *-- ;  AD ;  ; 
mapa  fizyczna ; ** ; AD ;  ; 
mapa  gospodarcza ; ** ; AD ;  ; 
marcowa  pogoda ; ** ; AD ;  ; 
marcowy  kawaler ; ** ; AD ;  ; 
margines  b³êdu ; *- ; AC ;  ; 
margines  spo³eczny ; ** ; AC ;  ; 
marksizm-leninizm ; ** ; AC ;  ; #dywiz
marny  grosz ; ** ; AC ;  ; 
marne  s³owo ; ** ; AE ;  ; 
marne szanse ; ** ; AG ;  ; 
marne widoki ; ** ; AG ;  ; 
marny  koniec ; ** ; AC ;  ; 
marsz *ABAAAB weselny ; ** ; AB ;  ; #wg odmiany
marsza³ek  sejmu ; *- ; AA ;  ; 
martwa  dusza ; ** ; AD ;  ; 
martwa  fala ; ** ; AD ;  ; 
martwa  formu³a ; ** ; AD ;  ; 
martwa  litera ; ** ; AD ;  ; 
martwa  natura ; ** ; AD ;  ; 
marynarka  dwurzêdowa ; ** ; AD ; 21 ; 
marzenie œciêtej g³owy ; *-- ; AE ;  ; 
masa  atomowa ; ** ; AD ;  ; 
masa  cz¹steczkowa ; ** ; AD ;  ; 
masa  spadkowa ; ** ; AD ;  ; 
masa  upad³oœciowa ; ** ; AD ;  ; 
mas³o  maœlane ; ** ; AE ;  ; #ew. G?
mas³o  roœlinne ; ** ; AE ;  ; 
masy *AGAAA pracuj¹ce ; ** ; AG ;  ; 
maszyna do pisania ; *-- ; AD ;  ; 
maszyna  do szycia ; *-- ; AD ;  ; 
maœlane  oczy *AEACA ; ** ; AG ;  ; #dwa wzorce
materializm  dialektyczny ; ** ; AC ;  ; 
materia³  dowodowy ; ** ; AC ;  ; 
matka  natura ; ** ; AD ; 2 ; #nazwa?
matka  ziemia ; ** ; AD ; 2 ; #nazwa?
m¹dra  g³owa ; ** ; AD ;  ; 
m¹droœæ  salomonowa ; ** ; AD ; 21 ; 
m¹droœæ  ¿yciowa ; ** ; AD ; 21 ; 
m¹ka  jêczmienna ; ** ; AD ;  ; 
m¹ka  kukurydziana ; ** ; AD ;  ; 
m¹ka  pszenna ; ** ; AD ;  ; 
m¹ka  razowa ; ** ; AD ;  ; 
m¹ka  ziemniaczana ; ** ; AD ;  ; 
m¹¿  opatrznoœciowy ; ** ; AA ;  ; 
m¹¿  stanu ; *- ; AA ;  ; 
m¹¿  zaufania ; *- ; AA ;  ; 
meble  gdañskie ; ** ; AG ;  ; #21?
meble  kalwaryjskie ; ** ; AG ;  ; #21?
mechanik *AAACBA samochodowy ; ** ; AA ;  ; 
medal  olimpijski ; ** ; AC ; 21 ; 
melodia  przysz³oœci ; *- ; AD ;  ; 
pieœñ przysz³oœci ; *- ; AD ; ;
menisk  wypuk³y ; ** ; AC ;  ; #wklês³y?
meritum sprawy ; -- ; AE ;  ; 
metal  pó³szlachetny ; ** ; AC ;  ; 
metal  szlachetny ; ** ; AC ;  ; 
metale  kolorowe ; ** ; AG ;  ; #lp?
metr *ACAABAA bie¿¹cy ; ** ; AC ;  ; 
metr *ACAABAA krawiecki ; ** ; AC ;  ; #wariant: metr?
metr *ACAABAA kwadratowy ; ** ; AC ;  ; #wariant: m2?
metr *ACAABAA szeœcienny ; ** ; AC ;  ; 
mêki *AGBA piekielne ; ** ; AG ;  ; #lp?
mêt spo³eczny ; ** ; AC ;  ; #blp?
mia¿d¿¹ca  krytyka *ADAB ; ** ; AD ;  ; 
mia¿d¿¹ca  przewaga ; ** ; AD ;  ; 
midasowe  uszy *AEACA ; ** ; AG ;  ; 
miecz  katowski ; ** ; AC ; 21 ; 
miecz  sprawiedliwoœci ; *- ; AC ;  ; 
miedŸ  koryncka ; ** ; AD ; 21 ; 
mielizna  intelektualna ; ** ; AD ; 21 ; 
mienie  spo³eczne ; ** ; AE ;  ; #21?
miesi¹c  kalendarzowy ; ** ; AC ;  ; 
mieszane  uczucia ; ** ; AG ;  ; 
mieszanka  piorunuj¹ca ; ** ; AD ; 21 ; 
miêkka  woda ; ** ; AD ; 21 ; 
miêkki  charakter ; ** ; AC ;  ; 
miêkki  cz³owiek ; ** ; AA ;  ; 
miêkkie  l¹dowanie ; ** ; AE ;  ; 
miêkkie  serce ; ** ; AE ;  ; 
miêsieñ  sercowy ; ** ; AC ;  ; 
miêso  armatnie ; ** ; AE ;  ; 
milcz¹ca  zgoda ; ** ; AD ;  ; 
milczenie  dyplomatyczne ; ** ; AE ; 21 ; 
milowy  krok ; ** ; AC ; 21 ; 
mi³oœæ  bliŸniego ; *- ; AD ;  ; 
mi³oœæ  w³asna ; ** ; AD ;  ; 
mina  niewini¹tka ; *- ; AD ;  ; 
minister  bez *GBBAA teki ; *-- ; AA ;  ; 
minorowy  ton *ACAAAAA ; ** ; AC ;  ; #21?
miodowy  miesi¹c ; ** ; AC ; 21 ; 
miotacz *ACACBBA ognia ; *- ; AC ;  ; 
miód  pitny ; ** ; AC ; 21 ; 
misterna  intryga ; ** ; AD ;  ; 
mistrz  ceremonii ; *- ; AA ;  ; 
mistrz  œwiata ; *- ; AA ;  ; 
mistrzowska  rêka ; ** ; AD ;  ; 
mleczko  kokosowe ; ** ; AE ;  ; 
mleczko  kosmetyczne ; ** ; AE ;  ; 
mleczko  pszczele ; ** ; AE ; 21 ; 
mleczny z¹b *ACAABAA ; ** ; AC ;  ; 
m³odzieñczy  zapa³ ; ** ; AC ; 21 ; 
moce  piekielne ; ** ; AG ; 21 ; #lp?
moce  tajemne ; ** ; AG ; 21 ; #lp?
mocna  strona ; ** ; AD ;  ; 
mocne  s³owa ; ** ; AG ;  ; 
mocny  ³eb ; ** ; AC ;  ;
$ mocna g³owa ; ** ; AD ; ; 
mocny punkt ; ** ; AC ;  ; 
mokra  robota *ADAAA ; ** ; AD ;  ; 
moment  pêdu ; *- ; AC ;  ; 
moment  si³y ; *- ; AC ;  ; 
monizm  idealistyczny ; ** ; AC ;  ; #termin?
monolog  wewnêtrzny ; ** ; AC ; 21 ; 
mordercze  tempo ; ** ; AE ;  ; 
morowe  powietrze ; ** ; AE ; 21 ; 
most  pontonowy ; ** ; AC ;  ; #21?
mowa ojczysta ; ** ; AD ; 21 ; 
mowa  oskar¿ycielska ; ** ; AD ;  ; 
mowa  wi¹zana ; ** ; AD ; ; #wariant: wiersz, poezja?
mól  ksi¹¿kowy ; ** ; AB ; 21 ; 
mózg  elektronowy ; ** ; AC ;  ; 
mroki  œredniowiecza ; *- ; AG ;  ; 
mrówcza  praca ; ** ; AD ;  ; 
mrówka  faraona ; *- ; AB ;  ; 
msza  gregoriañska ; ** ; AD ;  ; 
mucha  koñska ; ** ; AD ; giez ; 
mur  przes¹dów ; *- ; AC ;  ; 
muzyka *ADAB kameralna ; ** ; AD ;  ; 
muzyka *ADAB klasyczna ; ** ; AD ;  ; 
mysi  ogonek ; ** ; AC ;  ; 
myœl¹ca  trzcina ; ** ; AD ; 21 ; 
naczynie  krwionoœne ; ** ; AE ;  ; 
naczynia *AGDAA po³¹czone ; ** ; AG ;  ; 
nadêta  mina ; ** ; AD ;  ; 
naga  prawda ; ** ; AD ;  ; 
nagie  fakty ; ** ; AG ;  ; 
naga  œciana ; ** ; AD ;  ; 
$ go³a œciana ; ** ; AD ; ;
nag³a krew *ADCAAA ; -- ; AD ;  ; 
nagroda  pocieszenia ; *- ; AD ;  ; 
najwy¿szy czas ; -- ; AC ; 21 ; 
nakaz  chwili ; *- ; AC ;  ; 
nakrycie *AEBAA g³owy ; *- ; AE ;  ; #2wo 
nalana  twarz ; ** ; AD ;  ; 
nalot  dywanowy ; ** ; AC ;  ; 
naoczny  œwiadek ; ** ; AA ; 21 ; 
napad  gniewu ; *- ; AC ;  ; 
napad  histerii ; *- ; AC ;  ; 
napad  sza³u ; *- ; AC ;  ; 
napad  œmiechu ; *- ; AC ;  ; #+napad agresji, inne?
napój *ACACACB ch³odz¹cy ; ** ; AC ;  ; 
napój *ACACACB wyskokowy ; ** ; AC ;  ; #wariant: alkohol?
narodowy  socjalizm ; ** ; AC ;  ; 
narzêdzie  zbrodni ; *- ; AE ;  ; 
nastêpca  tronu ; *- ; AA ;  ; 
natura  rzeczy ; *- ; AD ;  ; 
nauka œcis³a ; ** ; AD ;  ; 
nawa  pañstwowa ; ** ; AD ; pañstwo ; 
nawis  skalny ; ** ; AC ; 21 ; 
nawóz  sztuczny ; ** ; AC ; 21 ; 
nawóz  naturalny ; ** ; AC ; ; #21?
nêdzna  kreatura ; ** ; AD ;  ; 
nêdzny  k³amca ; ** ; AA ;  ; 
niæ  porozumienia ; *- ; AD ;  ; 
niæ  sympatii ; *- ; AD ;  ; 
niæ  ¿ywota ; *- ; AD ;  ; 
niebieski  ptak ; ** ; AB ;  ; 
niebo w gêbie ; *-- ; AE ;  ; 
$ niebo w ustach ; *-- ; AE ;  ; 
nieczyste  moce ; ** ; AG ; 21 ; 
nieczysty  interes ; ** ; AC ;  ; 
niedziela  palmowa ; ** ; AD ;  ; #nazwa
niedzielny  kierowca ; ** ; AA ;  ; 
niedŸwiedŸ  jaskiniowy ; ** ; AB ;  ; 
niema  proœba ; ** ; AD ;  ; 
niemy  œwiadek ; ** ; AA ;  ; 
niepisana  umowa ; ** ; AD ;  ; 
niepisane  prawo ; ** ; AE ;  ; 
nieprawe  dziecko ; ** ; AE ;  ; 
nieprawy  syn ; ** ; AA ;  ; 
nieprzemakalny  cz³owiek ; ** ; AA ;  ; 
niesmaczny  ¿art ; ** ; AC ;  ; 
nieœmiertelna  s³awa ; ** ; AD ;  ; 
nietakt  towarzyski ; ** ; AC ; 21 ; 
niewola  egipska ; ** ; AD ;  ; 
niez³y numer ; ** ; AC ; ;
niskie  progi ; ** ; A ;  ; # tylko liczba mnoga - niski próg - co innego 
noc  polarna ; ** ; AD ; 21 ; 
noc  poœlubna ; ** ; AD ;  ; 
noc  œwiêtojañska ; ** ; AD ;  ; 
nocna  zmiana ; ** ; AD ; 21 ; 
nocny  lokal ; ** ; AC ; 21 ; 
nocny  marek *ACABBA ; ** ; AC ;  ;  
nota  dostateczna ; ** ; AD ; ; #warianty: dostateczny, trzy, trója, trójka?
nowa  twarz ; ** ; AD ;  ; 
nowy  œwiat ; ** ; AC ; Ameryka ; #powinna byæ wielka litera
nó¿  fiñski ; ** ; AC ; 21, finka ; 
nudy na pudy ; --- ; AG ;  ; 
numer  inwentarzowy ; ** ; AC ;  ; 
numer  kierunkowy ; ** ; AC ;  ; 
obca  twarz ; ** ; AD ;  ; 
oberwanie *AEBAA chmury ; *- ; AE ;  ; #wlzn?
obfite  kszta³ty *AGAB ; ** ; AG ;  ; 
obóz  harcerski ; ** ; AC ;  ; 
obóz  koncentracyjny ; ** ; AC ;  ; 
obóz  œmierci ; *- ; AC ;  ; 
$ obóz  zag³ady ; *- ; AC ;  ;
obraz *ACAAAAA  nêdzy i rozpaczy ; *--- ; AC ;  ; 
obrona  konieczna ; ** ; AD ;  ; 
obrót  bezgotówkowy ; ** ; AC ;  ; 
obrz¹dek  ³aciñski ; ** ; AC ;  ; #ew. wariant: katolicyzm?
obuwie  robocze ; ** ; AE ;  ; 
obywatel  œwiata ; *- ; AA ;  ; 
oczy *AEACA œwiata ; *- ; AG ;  ; #2wo
odcisk  palca ; *- ; AC ;  ; 
odpowiedzialnoœæ  cywilna ; ** ; AD ;  ; 
odpowiedzialnoœæ  karna ; ** ; AD ;  ; 
odprawa  celna ; ** ; AD ;  ; 
odruch  bezwarunkowy ; ** ; AC ;  ; 
odruch  warunkowy ; ** ; AC ;  ; 
odwaga  cywilna ; ** ; AD ; 21 ; 
ofiara  losu ; *- ; AD ;  ; 
oficer  rezerwy ; *- ; AA ;  ; 
ognisko  domowe ; ** ; AE ; 21 ; 
$ ognisko  rodzinne ; ** ; AE ; 21 ; 
ogród  botaniczny ; ** ; AC ;  ; 
ogród  zoologiczny ; ** ; AC ; zoo ; 
ogród jordanowski ; ** ; AC ;  ; 
ojcowie  miasta ; *- ; AG ;  ; #lp?
okaz  zdrowia ; *- ; AC ;  ; 
okno  na œwiat ; *-- ; AE ;  ; 
okno  weneckie ; ** ; AE ;  ; 
oko *AEAAAA cyklonu ; *- ; AE ;  ; 
okolicznoœæ  ³agodz¹ca ; ** ; AD ;  ; #21?
okr¹g³a  suma *ADAAA ; ** ; AD ;  ; 
$ okr¹g³a  sumka ; ** ; AD ;  ; 
okr¹g³y  miesi¹c ; ** ; AC ;  ; 
okr¹g³y  rok ; ** ; AC ;  ; 
okr¹g³y  stó³ ; ** ; AC ;  ; 
okrêt  dwurzêdowy ; ** ; AC ; dwurzêdowiec ; 
okrêt  liniowy ; ** ; AC ; liniowiec ; 
okruchy  z *GBBAA pañskiego sto³u ; *--- ; AG ;  ; 
olimpijski  spokój ; ** ; AC ; 21 ; 
o³ówek  kopiowy ; ** ; AC ;  ; 
opad szczêki *ADAB ; *- ; AC ;  ; 
opatrznoœæ  boska ; ** ; AD ; 21 ; 
opcja  zerowa ; ** ; AD ;  ; 
opera  komiczna ; ** ; AD ;  ; 
opera  mydlana ; ** ; AD ;  ; 
operacja  plastyczna ; ** ; AD ;  ; 
opiekuñcza  rêka ; ** ; AD ;  ; 
opiekuñcze  skrzyd³a ; ** ; AG ;  ; 
opinia  publiczna ; ** ; AD ;  ; 
orka  na ugorze ; *-- ; AD ;  ; 
orkiestra  dêta ; ** ; AD ; 21 ; 
orkiestra  kameralna ; ** ; AD ;  ; 
orkiestra  symfoniczna ; ** ; AD ;  ; 
orli  nos ; ** ; AC ;  ; 
orzech *ACAABB laskowy ; ** ; AC ;  ; #+w³oski
orze³ *ABABAB bia³y ; ** ; AB ;  ; #2wo?
osio³ *AAACAAAB dardanelski ; ** ; AA ; 21 ; 
oskar¿enie *AEBAA publiczne ; ** ; AE ;  ; #21? wlzn?
oskar¿yciel  publiczny ; ** ; AA ;  ; 
osoba  fizyczna ; ** ; AD ;  ; 
osoba  prawna ; ** ; AD ;  ; 
osoba  trzecia ; ** ; AD ;  ; 
ospa  wietrzna ; ** ; AD ;  ; 
ostatni  ba³wan *AAACAAAB ; ** ; AA ;  ; 
$ ostatni  cymba³ *AAACAAAB ; ** ; AA ;  ; 
$ ostatni  dureñ *AAABAB ; ** ; AA ;  ; #dwa wzorce odmiany
$ ostatni  g³upek ; ** ;  AA ;  ;
$ ostatni  osio³ *AAACAAAB  ; ** ; AA ;  ;
$ ostatni  g³upiec ; ** ; AA ;  ;  
ostatni  drañ ; ** ; AA ;  ; 
$ ostatni  ³ajdak ; ** ; AA ;  ; 
$ ostatni  ³otr ; ** ; AA ;  ; 
ostatni  dzwonek *ACABBA ; ** ; AC ;  ; 
ostatni  grosz ; ** ; AC ;  ; 
ostatni  sakrament ; ** ; AC ; wiatyk ; 
$ ostatnie  namaszczenie ; ** ; AE ;  ; 
ostatni  szelma *AABCBAA ; ** ; AA ;  ;  #wariant do ³otra?
ostatnia  godzina ; ** ; AD ;  ; 
ostatnia  wieczerza ; ** ; AD ;  ; #nazwa
ostatnie  podrygi ; ** ; AG ;  ; 
ostatnie  s³owo ; ** ; AE ;  ; 
ostra  amunicja ; ** ; AD ;  ; 
ostre  s³owo ; ** ; AE ;  ; 
ostry  dowcip ; ** ; AC ;  ; 
ostry  dy¿ur ; ** ; AC ;  ; 
ostry  jêzyk ; ** ; AC ;  ; 
ostry  nabój ; ** ; AC ;  ; 
ostrze  krytyki ; *- ; AE ;  ; 
ostrze  satyry *ADAAA ; *- ; AE ;  ; 
oœ  rzêdnych ; *- ; AD ;  ; #wariant: oœ Y?
oœla  g³owa ; ** ; AD ;  ; 
oœla  ³awa ; ** ; AD ;  ; 
$ oœla  ³awka ; ** ; AD ;  ; 
oœla  ³¹czka ; ** ; AD ;  ; 
oœla  œcie¿ka ; ** ; AD ;  ; 
oœli  trud ; ** ; AC ;  ; 
otwarta  gra *ADAAA ; ** ; AD ;  ; 
otwarta  ksiêga ; ** ; AD ;  ; 
otwarte  morze *AEBAA ; ** ; AE ; 21 ; 
owczarek  podhalañski ; ** ; AB ;  ; #+niemiecki
owczy  pêd ; ** ; AC ;  ; 
ósmy  cud *ACAAAAA œwiata ; **- ; AC ;  ; 
pajêcza  sieæ ; ** ; AD ; 21 ; 
pakt  o nieagresji ; *-- ; AC ;  ; 
palec  bo¿y ; ** ; AC ; 21 ; 
palec  serdeczny ; ** ; AC ; 21 ; 
palma  kokosowa ; ** ; AD ;  ; 
palma  pierwszeñstwa ; *- ; AD ;  ; 
pan  domu ; *- ; AA ;  ; 
pan  ¿ycia i œmierci ; *--- ; AA ;  ; 
pan i w³adca ; *-* ; AA ;  ; 
pani domu ; *- ; AD ;  ; 
pani  serca ; *- ; AD ;  ; 
panna  do wziêcia ; *-- ; AD ;  ; 
$ panna  na wydaniu ; *-- ; AD ;  ; 
panna m³oda ; ** ; AD ; ;
panna respektowa ; ** ; AD ; ;
pañski  gest ; ** ; AC ;  ; 
pañstwo *AEAAAB papieskie ; ** ; AE ;  ; 
pañstwo *AEAAAB policyjne ; ** ; AE ;  ; 
